CHRONIC TACOS,Monday-Friday,8am - 7pm,HUB FOOD COURT & HUB PLAZA
HABACHI-SAN,Monday-Friday,9:30am - 7pm,HUB FOOD COURT & HUB PLAZA
LA FIAMMA,Monday-Friday,10:30am - 5pm ,HUB FOOD COURT & HUB PLAZA
PANDA EXPRESS,Monday-Friday,9:30am - 7pm,HUB FOOD COURT & HUB PLAZA
SUBWAY,Monday-Thursday,7:30am - 10pm,HUB FOOD COURT & HUB PLAZA
SUBWAY,Friday,7:30am - 10pm,HUB FOOD COURT & HUB PLAZA
SUBWAY,Saturday,11am - 2pm,HUB FOOD COURT & HUB PLAZA
SUBWAY,Sunday,11am - 8pm,HUB FOOD COURT & HUB PLAZA
THE HABIT,Monday-Friday,8am - 10pm,LATITUDE 55 
THE HABIT,Saturday,11:30am - 6pm,LATITUDE 55 
THE COFFEE BEAN & TEA LEAF,Monday-Thursday,7am - 9pm ,HUB FOOD COURT & HUB PLAZA
THE COFFEE BEAN & TEA LEAF,Friday,7am - 7pm ,HUB FOOD COURT & HUB PLAZA
STARBUCKS,Monday-Thursday,6am - 1am,MARKET AT GLEN MOR 
STARBUCKS,Friday-Sunday,6am - Midnight,MARKET AT GLEN MOR
SAVOR,Monday-Friday,10:30am - 5pm ,MARKET AT GLEN MOR
SAVOR,Sunday (brunch),10:30am - 2:30pm ,MARKET AT GLEN MOR
SAVOR,Sunday (dinner),4:30pm- 9pm ,MARKET AT GLEN MOR
SIZZLE ,Daily,10:30am - Midnight,MARKET AT GLEN MOR
GLEN MOR SHOP,Monday-Thursday,6am - 1am,MARKET AT GLEN MOR
GLEN MOR SHOP,Friday-Sunday,6am - Midnight,MARKET AT GLEN MOR
ABERDEEN-INVERNESS,Monday-Friday,7:15am - 2:30pm,RESIDENTIAL DINING
ABERDEEN-INVERNESS,Monday-Friday,5pm - 8:30pm,RESIDENTIAL DINING
ABERDEEN-INVERNESS,Sunday (brunch),10am - 2:30pm,RESIDENTIAL DINING
ABERDEEN-INVERNESS,Sunday (dinner),5pm - 8:30pm,RESIDENTIAL DINING
LOTHIAN,Monday-Friday,7:15am - 2:30pm,RESIDENTIAL DINING
LOTHIAN,Monday-Friday,5pm - 8:30pm,RESIDENTIAL DINING
LOTHIAN,Saturday,10am - 2:30pm,RESIDENTIAL DINING
LOTHIAN,Saturday,5pm - 8:30pm,RESIDENTIAL DINING
SAVOR EXPRESS,Sunday-Thursday,8pm - 12 Midnight,RESIDENTIAL DINING
THE BARN,Monday-Friday,10:30am - 3pm ,CAMPUS EATERIES
IVAN’S AT HINDERAKER,Monday-Friday,7:30am - 5pm,CAMPUS EATERIES
BYTES,Monday-Thursday,7:30am - 7pm,CAMPUS EATERIES
BYTES,Friday,7:30am - 5pm,CAMPUS EATERIES
CULINARY CHAMELEON,Monday-Friday,11am - 2pm,FOOD TRUCKS
CULINARY CHAMELEON,Monday-Thursday,2:30pm - 11pm,FOOD TRUCKS
CULINARY CHAMELEON,Sunday,5pm - 11pm,FOOD TRUCKS
GROWL GRILL,Monday-Friday,11am - 2pm,FOOD TRUCKS
GROWL GRILL,Tuesday ,5pm - 8pm,FOOD TRUCKS
MOO MOO,Monday-Friday,Noon - 2pm,FOOD TRUCKS
MOO MOO,Monday-Wednesday,2:30pm - 5pm,FOOD TRUCKS
MOO MOO,Tuesday ,5pm - 8pm,FOOD TRUCKS
MOO MOO,Thursday,3pm - 7pm,FOOD TRUCKS
BEAR TRACKS,Monday-Friday,8am - 2pm,FOOD TRUCKS
BEAR TRACKS,Monday-Thursday,5pm - 8pm ,FOOD TRUCKS